question,label
10월 14일 베스트셀러 알려주셈,B-DATE E-DATE O O
7월 2일 베스트셀러 궁금해,B-DATE E-DATE O O
2월 22일 베스트셀러 알려주겠니,B-DATE E-DATE O O
10월 8일 베스트셀러 알려주셈,B-DATE E-DATE O O
9월 9일 베스트셀러 궁금해,B-DATE E-DATE O O
11월 11일 베스트셀러 궁금하다,B-DATE E-DATE O O
6월 9일 베스트셀러 알려줭,B-DATE E-DATE O O
10월 15일 베스트셀러 알려줄래,B-DATE E-DATE O O
8월 31일 베스트셀러 궁금하다,B-DATE E-DATE O O
10월 14일 베스트셀러 알려주세요,B-DATE E-DATE O O
5월 27일 베스트셀러 궁금해,B-DATE E-DATE O O
6월 25일 베스트셀러 알 수 있을까,B-DATE E-DATE O O O O
9월 14일 베스트셀러 알아봐줘,B-DATE E-DATE O O
8월 21일 베스트셀러 궁금하다,B-DATE E-DATE O O
12월 8일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
6월 2일 베스트셀러 뭐냐고,B-DATE E-DATE O O
8월 4일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
8월 21일 베스트셀러 알려줘,B-DATE E-DATE O O
1월 28일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
저번 주 베스트셀러 뭐임,B-DATE E-DATE O O
5월 27일 베스트셀러 말해 줘주세요,B-DATE E-DATE O O O
12월 4일 베스트셀러 알려줭,B-DATE E-DATE O O
5월 9일 베스트셀러 알려주라,B-DATE E-DATE O O
6월 31일 베스트셀러 뭐야,B-DATE E-DATE O O
10월 1일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
5월 3일 베스트셀러 알려주겠니,B-DATE E-DATE O O
12월 19일 베스트셀러 뭐냐고,B-DATE E-DATE O O
3월 25일 베스트셀러 궁금하다,B-DATE E-DATE O O
12월 베스트셀러 궁금하다,S-DATE O O
10월 베스트셀러 알아봐줘,S-DATE O O
2월 6일 베스트셀러 알려주라,B-DATE E-DATE O O
4월 11일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
6월 9일 베스트셀러 궁금함,B-DATE E-DATE O O
10월 10일 베스트셀러 말해 줘,B-DATE E-DATE O O O
11월 25일 베스트셀러 알려주십쇼,B-DATE E-DATE O O
11월 13일 베스트셀러 궁금해,B-DATE E-DATE O O
3월 8일 베스트셀러 뭐야,B-DATE E-DATE O O
8월 15일 베스트셀러 말해 줘,B-DATE E-DATE O O O
2월 2일 베스트셀러 궁금함,B-DATE E-DATE O O
12월 2일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
5월 5일 베스트셀러 궁금해,B-DATE E-DATE O O
5월 3일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
9월 5일 베스트셀러 알려줭,B-DATE E-DATE O O
4월 27일 베스트셀러 궁금해,B-DATE E-DATE O O
6월 23일 베스트셀러 좀,B-DATE E-DATE O O
7월 10일 베스트셀러 좀,B-DATE E-DATE O O
2월 베스트셀러 알 수 있을까,S-DATE O O O O
5월 4일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
7월 4일 베스트셀러 궁금함 ㅎㅎㅎ,B-DATE E-DATE O O O
12월 8일 베스트셀러 궁금해,B-DATE E-DATE O O
3월 11일 베스트셀러 궁금하다,B-DATE E-DATE O O
9월 5일 베스트셀러 부탁 합니다,B-DATE E-DATE O O O
4월 11일 베스트셀러 궁금해,B-DATE E-DATE O O
2월 30일 베스트셀러 뭐냐고,B-DATE E-DATE O O
8월 11일 베스트셀러 알려주세요,B-DATE E-DATE O O
9월 11일 베스트셀러 말해 줘,B-DATE E-DATE O O O
2월 27일 베스트셀러 알려주셈,B-DATE E-DATE O O
10월 25일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
2월 18일 베스트셀러 궁금해,B-DATE E-DATE O O
10월 5일 베스트셀러 알려주겠니,B-DATE E-DATE O O
저번 달 베스트셀러 궁금하다,B-DATE E-DATE O O
8월 31일 베스트셀러 뭐냐고,B-DATE E-DATE O O
12월 17일 베스트셀러 말해 줘봐,B-DATE E-DATE O O O
10월 6일 베스트셀러 알아봐줘,B-DATE E-DATE O O
12월 28일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
11월 20일 베스트셀러 부탁 합니다,B-DATE E-DATE O O O
9월 13일 베스트셀러 말해 줘주세요,B-DATE E-DATE O O O
12월 7일 베스트셀러 알아봐줘,B-DATE E-DATE O O
11월 4일 베스트셀러 알아봐줘,B-DATE E-DATE O O
9월 10일 베스트셀러 궁금해,B-DATE E-DATE O O
7월 30일 베스트셀러 알려주셈,B-DATE E-DATE O O
4월 14일 베스트셀러 알려주겠니,B-DATE E-DATE O O
5월 19일 베스트셀러 알아봐줘,B-DATE E-DATE O O
7월 26일 베스트셀러 뭐야,B-DATE E-DATE O O
5월 5일 베스트셀러 좀,B-DATE E-DATE O O
9월 18일 베스트셀러 궁금해,B-DATE E-DATE O O
10월 3일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
7월 2일 베스트셀러 궁금함,B-DATE E-DATE O O
8월 15일 베스트셀러 알려주겠니,B-DATE E-DATE O O
5월 3일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
2월 3일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
7월 5일 베스트셀러 뭐야,B-DATE E-DATE O O
5월 20일 베스트셀러 말해 줘,B-DATE E-DATE O O O
1월 14일 베스트셀러 말해 줘,B-DATE E-DATE O O O
2월 10일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
10월 4일 베스트셀러 알려줄래,B-DATE E-DATE O O
3월 25일 베스트셀러 궁금함,B-DATE E-DATE O O
6월 2일 베스트셀러 말해 줘,B-DATE E-DATE O O O
9월 11일 베스트셀러 좀,B-DATE E-DATE O O
11월 3일 베스트셀러 말해 줘주세요,B-DATE E-DATE O O O
3월 22일 베스트셀러 알 수 있을까,B-DATE E-DATE O O O O
4월 12일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
5월 18일 베스트셀러 알려줘,B-DATE E-DATE O O
2월 2일 베스트셀러 뭐야,B-DATE E-DATE O O
7월 23일 베스트셀러 궁금해,B-DATE E-DATE O O
2월 24일 베스트셀러 부탁 합니다,B-DATE E-DATE O O O
11월 2일 베스트셀러 말해 줘,B-DATE E-DATE O O O
10월 14일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
9월 13일 베스트셀러 말해 줘봐,B-DATE E-DATE O O O
5월 7일 베스트셀러 알 수 있을까,B-DATE E-DATE O O O O
오늘 베스트셀러 궁금하다,S-DATE O O
3월 13일 베스트셀러 뭐야,B-DATE E-DATE O O
4월 베스트셀러 궁금해,S-DATE O O
5월 19일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
5월 11일 베스트셀러 부탁 합니다,B-DATE E-DATE O O O
5월 15일 베스트셀러 ㅋㅋㅋ 뭐야,B-DATE E-DATE O O O
8월 26일 베스트셀러 알려주겠니 ㅋㅋㅋㅋ,B-DATE E-DATE O O O
3월 17일 베스트셀러 알아봐줘,B-DATE E-DATE O O
1월 9일 베스트셀러 말해 줘주세요,B-DATE E-DATE O O O
11월 29일 베스트셀러 ㅋㅋ 알려주십쇼,B-DATE E-DATE O O O
11월 12일 베스트셀러 알려주십쇼,B-DATE E-DATE O O
8월 31일 베스트셀러 알려주셈,B-DATE E-DATE O O
2월 7일 베스트셀러 알려줄 수 있니,B-DATE E-DATE O O O O
12월 18일 베스트셀러 알려주라,B-DATE E-DATE O O
4월 6일 베스트셀러 궁금함 ㅎㅎㅎㅎ,B-DATE E-DATE O O O
2월 12일 베스트셀러 알려줭,B-DATE E-DATE O O
9월 25일 베스트셀러 말해 줘,B-DATE E-DATE O O O
11월 6일 베스트셀러 뭐냐고,B-DATE E-DATE O O
3월 17일 베스트셀러 알려주십쇼,B-DATE E-DATE O O
5월 25일 베스트셀러 뭐임,B-DATE E-DATE O O
5월 14일 베스트셀러 알려주셈 ㅋㅋㅋ,B-DATE E-DATE O O O
6월 5일 베스트셀러 알려줘,B-DATE E-DATE O O
8월 26일 베스트셀러 말해 줘봐,B-DATE E-DATE O O O
6월 17일 베스트셀러 궁금하다,B-DATE E-DATE O O
5월 20일 베스트셀러 알려주셈,B-DATE E-DATE O O
10월 15일 베스트셀러 좀,B-DATE E-DATE O O
3월 16일 베스트셀러 알 수 있을까,B-DATE E-DATE O O O O
2월 30일 베스트셀러 알려주십쇼,B-DATE E-DATE O O
9월 21일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
1월 12일 베스트셀러 말해 줄 수 있니,B-DATE E-DATE O O O O O
11월 21일 베스트셀러 알려주셈,B-DATE E-DATE O O
